BIC_Code,BIC_Description,ANZSIC_Code,ANZSIC_Description
F373460,Toy wholesaling,3734,Toy and Sporting Goods Wholesaling
F373510,Book wholesaling,3735,Book and Magazine Wholesaling
F373520,Magazine wholesaling,3735,Book and Magazine Wholesaling
F373530,Newspaper wholesaling,3735,Book and Magazine Wholesaling
F373540,Periodical wholesaling,3735,Book and Magazine Wholesaling
F373610,Bag wholesaling - paper,3736,Paper Product Wholesaling
F373620,Paper product wholesaling nec,3736,Paper Product Wholesaling
F373630,Paper wholesaling,3736,Paper Product Wholesaling
F373640,Stationery wholesaling,3736,Paper Product Wholesaling
F373910,Artist supplies wholesaling,3739,Other Goods Wholesaling n.e.c.
F373915,E-liquid (for electronic cigarette and vape) wholesaling,3739,Other Goods Wholesaling n.e.c.
F373920,Firewood wholesaling,3739,Other Goods Wholesaling n.e.c.
F373930,Leather good wholesaling - except clothing or footwear,3739,Other Goods Wholesaling n.e.c.
F373940,Luggage wholesaling,3739,Other Goods Wholesaling n.e.c.
F373950,Pet food wholesaling,3739,Other Goods Wholesaling n.e.c.
F373960,Second hand good wholesaling nec,3739,Other Goods Wholesaling n.e.c.
F373970,Wholesale trade nec,3739,Other Goods Wholesaling n.e.c.
F373980,"Wholesaling, all products - excluding storage and handling of goods",3739,Other Goods Wholesaling n.e.c.
F380005,Auction house or rooms operation,3800,Commission-Based Wholesaling
F380010,Auctioning service - livestock,3800,Commission-Based Wholesaling
F380020,Auctioning service nec,3800,Commission-Based Wholesaling
F380030,Commodity broking,3800,Commission-Based Wholesaling
F380040,Wool broker,3800,Commission-Based Wholesaling
F380050,"Sales agent for manufacturer, wholesaler or retailer",3800,Commission-Based Wholesaling
F380060,Commission-based wholesaling,3800,Commission-Based Wholesaling
G391110,Car dealer - new and/or used (including associated vehicle servicing),3911,Car Retailing
G391210,Go-karts retailing - motorised,3912,Motor Cycle Retailing
G391220,Motorcycle or scooter retailing (including associated servicing),3912,Motor Cycle Retailing
G391310,Caravan dealing,3913,Trailer and Other Motor Vehicle Retailing
G391320,Horse float wholesaling or retailing,3913,Trailer and Other Motor Vehicle Retailing
G391330,Mobile home dealing,3913,Trailer and Other Motor Vehicle Retailing
G391340,Trailer dealing - except boat,3913,Trailer and Other Motor Vehicle Retailing
G392110,Battery retail - motor vehicle,3921,Motor Vehicle Parts Retailing
G392120,Car radio or cassette player - dealing or installation,3921,Motor Vehicle Parts Retailing
G392130,Motor accessory shop operation,3921,Motor Vehicle Parts Retailing
G392140,Motor vehicle parts retailing,3921,Motor Vehicle Parts Retailing
G392210,Tyre or tube for motor vehicle - retailing,3922,Tyre Retailing
G392220,"Tyre or tube for motor vehicle, repairing - except retreading",3922,Tyre Retailing
G400010,Automotive fuel retailing (including associated vehicle servicing),4000,Fuel Retailing
G400020,Liquefied petroleum gas - automotive - retailing,4000,Fuel Retailing
G400030,Service station operation,4000,Fuel Retailing
G411010,Dairy/superette operation,4110,Supermarket and Grocery Stores
G411020,General store operation - mainly grocery,4110,Supermarket and Grocery Stores
G411030,Grocery retailing,4110,Supermarket and Grocery Stores
G411040,Grocery supermarket operation,4110,Supermarket and Grocery Stores
G412110,"Butchery, butcher shop - retail",4121,"Fresh Meat, Fish and Poultry Retailing"
G412120,Fish retailing - fresh,4121,"Fresh Meat, Fish and Poultry Retailing"
G412130,Poultry retailing - fresh,4121,"Fresh Meat, Fish and Poultry Retailing"
G412140,Seafood retailing - fresh,4121,"Fresh Meat, Fish and Poultry Retailing"
G412210,Fruit retailing - fresh,4122,Fruit and Vegetable Retailing
G412220,Greengrocery operation - retail,4122,Fruit and Vegetable Retailing
G412230,Vegetable fresh - retailing,4122,Fruit and Vegetable Retailing
G412310,Liquor store,4123,Liquor Retailing
G412320,Wine and spirit merchandising - retail,4123,Liquor Retailing
G412905,Bakery retailing (without on-site baking),4129,Other Specialised Food Retailing
G412910,Biscuit retailing,4129,Other Specialised Food Retailing
G412915,Bread retailing,4129,Other Specialised Food Retailing
G412920,Bread vending,4129,Other Specialised Food Retailing
G412925,Cake retailing,4129,Other Specialised Food Retailing
G412930,Confectionery retailing,4129,Other Specialised Food Retailing
G412935,Delicatessen,4129,Other Specialised Food Retailing
G412940,Health food retailing,4129,Other Specialised Food Retailing
G412945,Smallgood retailing,4129,Other Specialised Food Retailing
G412950,Specialised food retailing nec,4129,Other Specialised Food Retailing
G421110,Antique reproduction furniture retailing,4211,Furniture Retailing
G421120,Awning retailing,4211,Furniture Retailing
G421130,Bed retailing,4211,Furniture Retailing
G421140,Blind retailing,4211,Furniture Retailing
G421150,Furniture retailing,4211,Furniture Retailing
G421210,Carpet retailing,4212,Floor Coverings Retailing
G421220,Floor covering retailing,4212,Floor Coverings Retailing
G421230,Tiles - floor - retailing,4212,Floor Coverings Retailing
G421310,"China, glassware and earthenware retailing",4213,Houseware Retailing
G421315,Cutlery retailing,4213,Houseware Retailing
G421320,Kitchenware retailing,4213,Houseware Retailing
G421330,"Plastic container, household, retailing",4213,Houseware Retailing
G421340,Silverware retailing,4213,Houseware Retailing
G421410,Curtain retailing,4214,Manchester and Other Textile Goods Retailing
G421420,Dressmaking supply retailing,4214,Manchester and Other Textile Goods Retailing
G421430,Fabrics textile retailing,4214,Manchester and Other Textile Goods Retailing
G421440,Haberdashery retailing,4214,Manchester and Other Textile Goods Retailing
G421450,Household textile retailing,4214,Manchester and Other Textile Goods Retailing
G421460,Linen retailing - household,4214,Manchester and Other Textile Goods Retailing
G421470,Soft furnishing retailing,4214,Manchester and Other Textile Goods Retailing
G421480,Yarn retailing,4214,Manchester and Other Textile Goods Retailing
G422105,Barbecue retailing,4221,"Electrical, Electronic and Gas Appliance Retailing"
G422110,"Camera, accessory retailing",4221,"Electrical, Electronic and Gas Appliance Retailing"
G422115,Domestic appliance retailing,4221,"Electrical, Electronic and Gas Appliance Retailing"
G422120,Gas heating appliance - household - retailing,4221,"Electrical, Electronic and Gas Appliance Retailing"
G422125,Heating equipment - household electric - retailing,4221,"Electrical, Electronic and Gas Appliance Retailing"
G422130,Household appliance retailing,4221,"Electrical, Electronic and Gas Appliance Retailing"
G422135,Photographic equipment retailing,4221,"Electrical, Electronic and Gas Appliance Retailing"
G422140,Pocket calculator retailing - electronic,4221,"Electrical, Electronic and Gas Appliance Retailing"
G422145,Sound reproducing equipment - household - retailing,4221,"Electrical, Electronic and Gas Appliance Retailing"
G422150,Telephone retailing including mobile phone,4221,"Electrical, Electronic and Gas Appliance Retailing"
G422155,Television antennae retailing,4221,"Electrical, Electronic and Gas Appliance Retailing"
G422160,Television set retailing,4221,"Electrical, Electronic and Gas Appliance Retailing"
G422165,Video camera retailing,4221,"Electrical, Electronic and Gas Appliance Retailing"
G422203,Computer peripherals retailing,4222,Computer and Computer Peripheral Retailing
G422207,Computer game console retailing,4222,Computer and Computer Peripheral Retailing
G422210,Computer retailing,4222,Computer and Computer Peripheral Retailing
G422220,Computer software retailing,4222,Computer and Computer Peripheral Retailing
G422910,Electric light fittings retailing,4229,Other Electrical and Electronic Goods Retailing
G422920,Electrical goods retailing nec,4229,Other Electrical and Electronic Goods Retailing
G422930,Electronic goods retailing nec,4229,Other Electrical and Electronic Goods Retailing
G423105,Home improvement goods trading - multiple product ranges,4231,Hardware and Building Supplies Retailing
G423110,Bathroom and toilet fitting - retailing,4231,Hardware and Building Supplies Retailing
G423115,Building supplies retailing nec,4231,Hardware and Building Supplies Retailing
G423120,Garden tool retailing,4231,Hardware and Building Supplies Retailing
G423130,Hardware retailing - domestic,4231,Hardware and Building Supplies Retailing
G423140,Lawn mower retailing,4231,Hardware and Building Supplies Retailing
G423150,Paint retailing,4231,Hardware and Building Supplies Retailing
G423160,"Tool, household, retailing",4231,Hardware and Building Supplies Retailing
G423170,Wallpaper retailing,4231,Hardware and Building Supplies Retailing
G423210,Fertiliser retailing,4232,Garden Supplies Retailing
G423220,Garden ornament retailing,4232,Garden Supplies Retailing
G423230,Garden supply retailing nec,4232,Garden Supplies Retailing
G423240,Landscaping supply - retailing,4232,Garden Supplies Retailing
G423250,Nursery - retail,4232,Garden Supplies Retailing
G423260,Pesticide retailing,4232,Garden Supplies Retailing
G423270,"Plant, garden - retailing",4232,Garden Supplies Retailing
G423280,Seed retailing - garden,4232,Garden Supplies Retailing
G423290,Shrub or tree retailing,4232,Garden Supplies Retailing
G424110,Bicycle and accessory retailing,4241,Sport and Camping Equipment Retailing
G424120,Camping equipment retailing,4241,Sport and Camping Equipment Retailing
G424130,Firearm retailing,4241,Sport and Camping Equipment Retailing
G424140,Gymnasium equipment retailing,4241,Sport and Camping Equipment Retailing
G424150,Skin diving equipment retailing,4241,Sport and Camping Equipment Retailing
G424160,Sporting equipment retailing - except clothing or footwear,4241,Sport and Camping Equipment Retailing
G424210,"Compact disc, cassette tape and record retailing",4242,Entertainment Media Retailing
G424220,Computer game retailing,4242,Entertainment Media Retailing
G424230,Video cassette or disc retailing,4242,Entertainment Media Retailing
G424310,Doll retailing,4243,Toy and Game Retailing
G424320,Game retailing,4243,Toy and Game Retailing
G424330,Hobby equipment and supply retailing,4243,Toy and Game Retailing
G424340,Toy retailing,4243,Toy and Game Retailing
G424410,Book retailing,4244,Newspaper and Book Retailing
G424415,Religious book retailing,4244,Newspaper and Book Retailing
G424420,Magazine retailing,4244,Newspaper and Book Retailing
G424430,Newspaper retailing,4244,Newspaper and Book Retailing
G424510,Boat dealing,4245,Marine Equipment Retailing
G424520,Boat trailer dealing,4245,Marine Equipment Retailing
G424530,Jetski retailing,4245,Marine Equipment Retailing
G424540,Marine accessory retailing nec,4245,Marine Equipment Retailing
G424550,Marine equipment retailing,4245,Marine Equipment Retailing
G424560,Outboard motor retailing,4245,Marine Equipment Retailing
G424570,Trailer dealing - boat,4245,Marine Equipment Retailing
G425105,Baby wear retailing,4251,Clothing Retailing
G425110,Clothing accessory retailing,4251,Clothing Retailing
G425115,Clothing retailing,4251,Clothing Retailing
G425120,Leather clothing retailer,4251,Clothing Retailing
G425125,Lingerie retailing,4251,Clothing Retailing
G425130,Menswear retailing,4251,Clothing Retailing
G425135,Millinery retailing,4251,Clothing Retailing
G425140,Protective clothing retailing,4251,Clothing Retailing
G425145,Womenswear retailing,4251,Clothing Retailing
G425150,Work clothing retailing,4251,Clothing Retailing
G425210,Footwear retailing,4252,Footwear Retailing
G425220,Shoe retailing,4252,Footwear Retailing
G425310,Jewellery retailing - except direct selling,4253,Watch and Jewellery Retailing
G425320,Watch retailing,4253,Watch and Jewellery Retailing
G425910,Handbag retailing,4259,Other Personal Accessory Retailing
G425920,Leather good retailing - except apparel,4259,Other Personal Accessory Retailing
G425923,Personal accessories retailing nec,4259,Other Personal Accessory Retailing
G425927,Sunglass retailing,4259,Other Personal Accessory Retailing
G425930,Travel good retailing,4259,Other Personal Accessory Retailing
G425940,Wig retailing,4259,Other Personal Accessory Retailing
G426010,Department store operation,4260,Department Stores
G427110,Chemist shop operation - pharmacy,4271,"Pharmaceutical, Cosmetic and Toiletry Goods Retailing"
G427120,Cosmetic retailing,4271,"Pharmaceutical, Cosmetic and Toiletry Goods Retailing"
G427125,Health supplement retailing,4271,"Pharmaceutical, Cosmetic and Toiletry Goods Retailing"
G427130,Perfume retailing,4271,"Pharmaceutical, Cosmetic and Toiletry Goods Retailing"
G427140,Pharmacy operation - retail,4271,"Pharmaceutical, Cosmetic and Toiletry Goods Retailing"
G427150,Toiletry retailing,4271,"Pharmaceutical, Cosmetic and Toiletry Goods Retailing"
G427210,Artist supply retailing,4272,Stationery Goods Retailing
G427220,Stationery retailing,4272,Stationery Goods Retailing
G427310,Antique retailing,4273,Antique and Used Goods Retailing
G427320,Coin dealing,4273,Antique and Used Goods Retailing
G427330,Pawnbroking,4273,Antique and Used Goods Retailing
G427340,Second hand book retailing,4273,Antique and Used Goods Retailing
G427350,Second hand clothing retailing,4273,Antique and Used Goods Retailing
G427360,Second hand furniture retailing or auctioning - except pawnbroking,4273,Antique and Used Goods Retailing
G427370,"Second hand goods retailing - except motor vehicle, pawnbroking",4273,Antique and Used Goods Retailing
G427380,Second hand jewellery retailing - except pawnbroking,4273,Antique and Used Goods Retailing
G427390,Stamp dealing - except pawnbroking,4273,Antique and Used Goods Retailing
G427410,Dried flower retailing,4274,Flower Retailing
G427420,Florist operation - retail,4274,Flower Retailing
G427430,Flower retailing,4274,Flower Retailing
G427903,Adult shop operation,4279,Other Store-Based Retailing n.e.c.
G427907,Animal retailing - live,4279,Other Store-Based Retailing n.e.c.
G427910,Art dealing,4279,Other Store-Based Retailing n.e.c.
G427913,Art gallery operation - retail,4279,Other Store-Based Retailing n.e.c.
G427917,Clock retailing,4279,Other Store-Based Retailing n.e.c.
G427920,Coal retailing,4279,Other Store-Based Retailing n.e.c.
G427923,Craft material and supply retailing,4279,Other Store-Based Retailing n.e.c.
G427927,Discount store operation,4279,Other Store-Based Retailing n.e.c.
G427930,Disposal store - new goods,4279,Other Store-Based Retailing n.e.c.
G427933,Firewood cutting and retailing,4279,Other Store-Based Retailing n.e.c.
G427935,"Electronic cigarette, vape and e-liquid retailing",4279,Other Store-Based Retailing n.e.c.
G427937,General store operation - other than mainly grocery,4279,Other Store-Based Retailing n.e.c.
G427940,Gift shop nec,4279,Other Store-Based Retailing n.e.c.
G427943,Greeting card retailing,4279,Other Store-Based Retailing n.e.c.
G427947,Ice retailing,4279,Other Store-Based Retailing n.e.c.
G427950,Musical instrument retailing,4279,Other Store-Based Retailing n.e.c.
G427953,Pet shop,4279,Other Store-Based Retailing n.e.c.
G427957,Religious good retailing (excluding religious books),4279,Other Store-Based Retailing n.e.c.
G427960,Retailing nec,4279,Other Store-Based Retailing n.e.c.
G427962,Solid fuels retailing nec,4279,Other Store-Based Retailing n.e.c.
G427963,Souvenir retailing,4279,Other Store-Based Retailing n.e.c.
G427967,Spa pool and hot tub retailing,4279,Other Store-Based Retailing n.e.c.
G427970,Swimming pool chemical retailing,4279,Other Store-Based Retailing n.e.c.
G427973,Swimming pool retailing,4279,Other Store-Based Retailing n.e.c.
G427977,Tobacco product retailing,4279,Other Store-Based Retailing n.e.c.
G427980,Variety store operation,4279,Other Store-Based Retailing n.e.c.
G431010,Book retailing - catalogue selling,4310,Non-Store Retailing
G431020,"Direct selling - cosmetic, perfume and toiletry",4310,Non-Store Retailing
G431030,Direct selling - jewellery,4310,Non-Store Retailing
G431040,Direct selling nec,4310,Non-Store Retailing
G431060,Milk vendor - home delivery service,4310,Non-Store Retailing
G431070,Network marketing nec,4310,Non-Store Retailing
G431080,Telemarketing - excluding goods sales and handling,4310,Non-Store Retailing
G431085,"Retailing, all products - excluding storage and handling of goods",4310,Non-Store Retailing
G431090,Vending machine operation (except leasing),4310,Non-Store Retailing
G432010,Commission selling service,4320,Retail Commission-Based Buying and/or Selling
G432020,Yacht broking,4320,Retail Commission-Based Buying and/or Selling
H440005,Backpacker accommodation,4400,Accommodation
H440010,Boarding house,4400,Accommodation
H440015,Caravan park and camping ground,4400,Accommodation
H440020,Convention centre operation (mainly accommodation),4400,Accommodation
H440025,Guest house operation,4400,Accommodation
H440030,Holiday house and flat operation,4400,Accommodation
H440035,Hosted accommodation,4400,Accommodation
H440040,Hotel operation,4400,Accommodation
H440045,Motel operation,4400,Accommodation
H440050,Motor inn operation,4400,Accommodation
H440055,Private hotel - short term accommodation,4400,Accommodation
H440060,Ski-lodge operation,4400,Accommodation
H440065,Student residence operation - except boarding schools,4400,Accommodation
H440070,Youth hostel operation,4400,Accommodation
H451110,Cafe operation,4511,Cafes and Restaurants
H451120,Coffee shops,4511,Cafes and Restaurants
H451130,Restaurant operation,4511,Cafes and Restaurants
H451205,"Chicken, takeaway and retailing - cooked and ready to eat",4512,Takeaway Food Services
H451210,Cut lunch retailing,4512,Takeaway Food Services
H451215,Ethnic food takeaways,4512,Takeaway Food Services
H451220,Fast food retailing,4512,Takeaway Food Services
H451225,Fish and chip retailing - takeaway,4512,Takeaway Food Services
H451230,Hamburger retailing,4512,Takeaway Food Services
H451235,Ice cream retailing,4512,Takeaway Food Services
H451240,Pizza takeaway - retailing,4512,Takeaway Food Services
H451250,Soft drink retailing,4512,Takeaway Food Services
H451260,Takeaway food retailing,4512,Takeaway Food Services
H451270,Mobile coffee van,4512,Takeaway Food Services
H451310,Airline catering service,4513,Catering Services
H451320,Catering service,4513,Catering Services
H452010,Bar - licensed,4520,"Pubs, Taverns and Bars"
H452020,Hotel operation - mainly drinking place,4520,"Pubs, Taverns and Bars"
H452030,Nightclub operation,4520,"Pubs, Taverns and Bars"
H452040,Pub operation - mainly drinking place,4520,"Pubs, Taverns and Bars"
H452050,Tavern operation - mainly drinking place,4520,"Pubs, Taverns and Bars"
H452060,Wine bar operation - mainly drinking place,4520,"Pubs, Taverns and Bars"
H453010,Club - hospitality,4530,Clubs (Hospitality)
H453020,Club - licensed,4530,Clubs (Hospitality)
H453030,Licenced club operation,4530,Clubs (Hospitality)
I461010,Delivery service - road,4610,Road Freight Transport
I461020,Furniture removal service - road,4610,Road Freight Transport
I461030,Log haulage service - road,4610,Road Freight Transport
I461040,Road freight transport service,4610,Road Freight Transport
I461050,Taxi truck service,4610,Road Freight Transport
I461060,Towing service - motor vehicle,4610,Road Freight Transport
I461070,Truck hire service - with driver,4610,Road Freight Transport
I462110,"Bus, coach transport - long distance",4621,Interurban and Rural Bus Transport
I462120,Charter bus service - long distance,4621,Interurban and Rural Bus Transport
I462130,Rural bus service,4621,Interurban and Rural Bus Transport
I462210,Airport bus service,4622,Urban Bus Transport (Including Tramway)
I462220,"Bus, coach transport - short distance",4622,Urban Bus Transport (Including Tramway)
I462230,Charter bus service - short distance,4622,Urban Bus Transport (Including Tramway)
I462240,School bus service,4622,Urban Bus Transport (Including Tramway)
I462250,Tramway passenger transport service,4622,Urban Bus Transport (Including Tramway)
I462310,Hire car service - with driver,4623,Taxi and Other Road Transport
I462320,Road passenger transport nec,4623,Taxi and Other Road Transport
I462330,Taxi cab service,4623,Taxi and Other Road Transport
I462340,Taxi organisation (excluding those that provide taxi services),4623,Taxi and Other Road Transport
I471010,Freight transport service - railway,4710,Rail Freight Transport
I472010,Monorail operation,4720,Rail Passenger Transport
I472020,Passenger transport service - railway,4720,Rail Passenger Transport
I481010,"Freight transport service - river, harbour or lake",4810,Water Freight Transport
I481020,Inland water transport (except passenger only),4810,Water Freight Transport
I481030,Water transport (vessels 45 metres length and under or 500 tonnes displacement and under),4810,Water Freight Transport
I481040,Water transport (vessels over 45 metres length and 500 tonnes displacement),4810,Water Freight Transport
I481050,"Ship charter, lease or rental (vessels over 45 metres length and 500 tonnes displacement - with crew)",4810,Water Freight Transport
I481060,"Ship charter, lease or rental (vessels under 45 metres length or 500 tonnes displacement - with crew)",4810,Water Freight Transport
I481070,Ship management service (vessels over 45 metres length and 500 tonnes displacement),4810,Water Freight Transport
I481080,Ship management service (vessels under 45 metres length or 500 tonnes displacement),4810,Water Freight Transport
I482010,Ferry operation (vessels over 45 metres length and 500 tonnes displacement),4820,Water Passenger Transport
I482020,Ferry operation (vessels under 45 metres length or 500 tonnes displacement),4820,Water Passenger Transport
I482030,Inland water transport (passenger only),4820,Water Passenger Transport
I482040,Ocean cruise service,4820,Water Passenger Transport
I482050,"Passenger ferry operation - river, harbour or lake",4820,Water Passenger Transport
I482060,Vehicular ferry or punt operation - in inland waters,4820,Water Passenger Transport
I482070,Water taxi service,4820,Water Passenger Transport
I490002,"Air operations under CAA Rules parts 101, 103 and 104",4900,Air and Space Transport
I490004,Air operations under CAA Rules part 133,4900,Air and Space Transport
I490006,Air operations under CAA Rules part 135,4900,Air and Space Transport
I490008,"Air transport under CAA Rules part 121, 125, or 129",4900,Air and Space Transport
I490010,"Aircraft charter, lease or rental - with crew",4900,Air and Space Transport
I490020,Airline operation - scheduled domestic,4900,Air and Space Transport
I490030,Airline operation - scheduled international,4900,Air and Space Transport
I490040,Freight transport service - non scheduled air transport,4900,Air and Space Transport
I490050,Freight transport service - scheduled domestic air transport,4900,Air and Space Transport
I490060,Freight transport service - scheduled international air transport,4900,Air and Space Transport
I501001,Boat hiring (with crew),5010,Scenic and Sightseeing Transport
I501005,Cable car operation,5010,Scenic and Sightseeing Transport
I501010,Chair lift operation,5010,Scenic and Sightseeing Transport
I501013,Charter fishing boat operation,5010,Scenic and Sightseeing Transport
I501015,"Cruise operation - river, harbour or lake, with or without restaurant facilities",5010,Scenic and Sightseeing Transport
I501017,Hang glider operation,5010,Scenic and Sightseeing Transport
I501020,Four wheel drive tour operation - with driver,5010,Scenic and Sightseeing Transport
I501023,Harbour sightseeing tour operation,5010,Scenic and Sightseeing Transport
I501025,Game fishing tours,5010,Scenic and Sightseeing Transport
I501030,Helicopter charter,5010,Scenic and Sightseeing Transport
I501035,Hot air ballooning operation,5010,Scenic and Sightseeing Transport
I501040,Motor cycle tour operation - with driver,5010,Scenic and Sightseeing Transport
I501043,Parachuting and sky-diving operations,5010,Scenic and Sightseeing Transport
I501045,Railway operation - by historical railway societies or as a tourist attraction,5010,Scenic and Sightseeing Transport
I501050,Whale watching tour,5010,Scenic and Sightseeing Transport
I501055,Air operations under CAA Rules part 115,5010,Scenic and Sightseeing Transport
I501060,Scenic and sightseeing transport (excluding aviation),5010,Scenic and Sightseeing Transport
I502110,Pipeline operation,5021,Pipeline Transport
I502910,Ski lift operation,5029,Other Transport n.e.c.
I502920,Ski tow operation,5029,Other Transport n.e.c.
I502930,Transport operation nec,5029,Other Transport n.e.c.
I510105,Letterbox delivery services - addressed mail,5101,Postal Services
I510108,Letterbox delivery services - advertising material,5101,Postal Services
I510110,Mail network operation,5101,Postal Services
I510120,Mailbox rental service,5101,Postal Services
I510130,Newspaper home delivery,5101,Postal Services
I510140,Post office operation,5101,Postal Services
I510145,Postshop operation,5101,Postal Services
I510150,Retail postal service,5101,Postal Services
I510210,Courier service,5102,Courier Pick-up and Delivery Services
I510213,Grocery home delivery service,5102,Courier Pick-up and Delivery Services
I510220,Messenger service,5102,Courier Pick-up and Delivery Services
I510230,Pick-up and delivery service nec,5102,Courier Pick-up and Delivery Services
I510235,Rural post pick-up and delivery service,5102,Courier Pick-up and Delivery Services
I510240,Letterbox delivery services (non-postal),5102,Courier Pick-up and Delivery Services
I521110,Ship loading or unloading service,5211,Stevedoring Services
I521120,Stevedoring,5211,Stevedoring Services
I521205,Coal loader operation - sea transport,5212,Port and Water Transport Terminal Operations
I521210,Container terminal operation - marine cargo,5212,Port and Water Transport Terminal Operations
I521215,Freight terminal operation - sea transport,5212,Port and Water Transport Terminal Operations
I521220,Grain loader operation - sea transport,5212,Port and Water Transport Terminal Operations
I521225,Harbour service nec,5212,Port and Water Transport Terminal Operations
I521230,Marina operation,5212,Port and Water Transport Terminal Operations
I521235,Passenger terminal operation - sea transport,5212,Port and Water Transport Terminal Operations
I521240,Port operator,5212,Port and Water Transport Terminal Operations
I521245,Ship mooring service,5212,Port and Water Transport Terminal Operations
I521250,Wharf facility leasing,5212,Port and Water Transport Terminal Operations
I521255,Wharf provision,5212,Port and Water Transport Terminal Operations
I521910,"Diver - commercial, salvage",5219,Other Water Transport Support Services
I521920,Navigation service - water transport,5219,Other Water Transport Support Services
I521930,Pilotage service,5219,Other Water Transport Support Services
I521940,Port service nec,5219,Other Water Transport Support Services
I521950,Salvage service - marine,5219,Other Water Transport Support Services
I521960,Service to water transport nec,5219,Other Water Transport Support Services
I521970,Towboat operation,5219,Other Water Transport Support Services
I521980,Shipping agency service including goods handling,5219,Other Water Transport Support Services
I522010,Air traffic control system operation,5220,Airport Operations and Other Air Transport Support Services
I522020,Airport operation,5220,Airport Operations and Other Air Transport Support Services
I522030,Airport service,5220,Airport Operations and Other Air Transport Support Services
I529110,Customs agency or broker service (no goods handling),5291,Customs Agency Services
I529111,Customs agency or broker service including goods handling,5291,Customs Agency Services
I529120,Export documentation preparation service (no goods handling),5291,Customs Agency Services
I529121,Export documentation preparation service including goods handling,5291,Customs Agency Services
I529130,Import documentation preparation service (no goods handling),5291,Customs Agency Services
I529131,Import documentation preparation service including goods handling,5291,Customs Agency Services
I529140,Shipping agency service (excluding handling of goods),5291,Customs Agency Services
I529210,Freight forwarding including goods handling - air,5292,Freight Forwarding Services
I529211,Freight forwarding (no goods handling) - air,5292,Freight Forwarding Services
I529220,Freight forwarding including goods handling - except by road or air,5292,Freight Forwarding Services
I529221,Freight forwarding (no goods handling) - except by road or air,5292,Freight Forwarding Services
I529230,Freight forwarding including goods handling - road,5292,Freight Forwarding Services
I529231,Freight forwarding (no goods handling) - road,5292,Freight Forwarding Services
I529240,Freight forwarding including goods handling nec,5292,Freight Forwarding Services
I529241,Freight forwarding (no goods handling) nec,5292,Freight Forwarding Services
I529910,Chauffeur service,5299,Other Transport Support Services n.e.c.
I529920,Container terminal or park facilities - for road freight,5299,Other Transport Support Services n.e.c.
I529930,Freight brokerage service (no goods handling),5299,Other Transport Support Services n.e.c.
I529931,Freight brokerage service including goods handling,5299,Other Transport Support Services n.e.c.
I529940,Railway station operation,5299,Other Transport Support Services n.e.c.
I529950,Service to transport nec,5299,Other Transport Support Services n.e.c.
I529960,Services to road transport nec,5299,Other Transport Support Services n.e.c.
I529970,Toll bridge operation,5299,Other Transport Support Services n.e.c.
I529980,Toll road operation,5299,Other Transport Support Services n.e.c.
I529985,Transport and delivery vehicle scheduling service,5299,Other Transport Support Services n.e.c.
I529990,Weighbridge operation,5299,Other Transport Support Services n.e.c.
I530110,Grain elevator operation,5301,Grain Storage Services
I530120,Grain silo operation,5301,Grain Storage Services
I530130,Grain storage,5301,Grain Storage Services
I530910,Bond store operation,5309,Other Warehousing and Storage Services
I530920,Cold store operation,5309,Other Warehousing and Storage Services
I530930,Controlled atmosphere store operation,5309,Other Warehousing and Storage Services
I530940,Cool storage of fruit and vegetables,5309,Other Warehousing and Storage Services
I530950,Furniture storage service,5309,Other Warehousing and Storage Services
I530960,Storage service nec,5309,Other Warehousing and Storage Services
I530970,Warehousing nec,5309,Other Warehousing and Storage Services
J541110,Newspaper publishing (except internet),5411,Newspaper Publishing
J541120,Community newspaper publishing (except internet),5411,Newspaper Publishing
J541205,Magazine publishing (except internet),5412,Magazine and Other Periodical Publishing
J541207,Journal (including trade journal) publishing (except internet),5412,Magazine and Other Periodical Publishing
J541210,Periodical publishing (except internet),5412,Magazine and Other Periodical Publishing
J541220,Newsletter publishing (except internet),5412,Magazine and Other Periodical Publishing
J541310,Book and other publishing (except internet),5413,Book Publishing
J541320,Technical manual publishing (except internet),5413,Book Publishing
J541410,Directory and mailing list publishing (except internet),5414,Directory and Mailing List Publishing
J541910,Publishing nec,5419,"Other Publishing (except Software, Music and Internet)"
J542005,Development of computer software for mass production,5420,Software Publishing
J542010,Computer software publishing,5420,Software Publishing
J551110,Film and video production,5511,Motion Picture and Video Production
J551120,Motion picture film or tape production,5511,Motion Picture and Video Production
J551130,Television film or tape production,5511,Motion Picture and Video Production
J551140,Video filming for commercial usage,5511,Motion Picture and Video Production
J551210,Film and video distribution,5512,Motion Picture and Video Distribution
J551220,Rental of film,5512,Motion Picture and Video Distribution
J551230,Video tape leasing - excluding hire to the public by video hire outlets,5512,Motion Picture and Video Distribution
J551310,Cinema operation,5513,Motion Picture Exhibition
J551320,Drive-in theatre operation,5513,Motion Picture Exhibition
J551403,Digital visual effects services,5514,Post-production Services and Other Motion Picture and Video Activities
J551404,Film and video production - digital special effects,5514,Post-production Services and Other Motion Picture and Video Activities
J551405,Film or video post-production services,5514,Post-production Services and Other Motion Picture and Video Activities
J551407,Motion picture and video activities nec,5514,Post-production Services and Other Motion Picture and Video Activities
J551410,Motion picture or video editing service,5514,Post-production Services and Other Motion Picture and Video Activities
J552110,Music publishing,5521,Music Publishing
J552210,Sound recording studio operation,5522,Music and Other Sound Recording Activities
